Breed, Affectionate With Family, Good With Young Children, Good With Other Dogs, Shedding Level, Coat Grooming Frequency, Drooling Level, Openness to Strangers, Playfulness Level, Watchdog/Protective Nature, Adaptability Level, Trainability Level, Energy Level, Barking Level, Mental Stimulation Needs, Coat Type, Coat Length 
German-Spitz,5,3,4,3,3,2,4,4,3,5,5,3,5,3,Double ,Medium 
German-Wirehaired-Pointer,5,3,3,2,2,2,4,4,3,4,5,5,3,4,Wiry Double ,Medium 
Giant-Schnauzer,5,3,3,3,4,2,3,4,5,4,5,5,3,4,Wiry Double ,Medium 
Glen-of-Imaal-Terrier,5,3,3,2,3,2,3,3,3,4,3,3,2,3,Wiry ,Medium 
Golden-Retriever,5,5,5,4,2,2,5,4,3,5,5,3,1,4,Double ,Medium 
Gordon-Setter,5,3,3,3,2,4,3,3,4,4,5,5,3,4,Double ,Medium 
Grand-Basset-Griffon-Vendeen,5,3,4,3,2,2,5,4,3,4,3,5,4,4,Wiry Double ,Medium 
Great-Dane,5,3,3,3,1,4,3,4,5,4,3,4,3,4,Smooth ,Short 
Great-Pyrenees,5,3,3,3,2,3,3,3,5,3,3,3,3,3,Double ,Medium 
Greater-Swiss-Mountain-Dog,5,5,3,3,2,3,5,4,4,3,4,4,3,4,Smooth ,Short 
Greyhound,4,3,4,2,1,1,3,3,3,4,3,4,3,3,Smooth ,Short 
Hamiltonstovare,5,5,3,3,2,2,5,4,4,3,4,4,3,4,Smooth ,Short 
Hanoverian-Scenthound,3,3,5,3,2,2,3,3,2,3,4,4,4,3,Smooth ,Short 
Harrier,5,5,5,3,1,2,4,4,3,4,4,4,5,4,Double ,Short 
Havanese,5,5,5,2,3,1,5,5,3,5,4,3,4,3,Double Silky ,Long 
Hokkaido,5,3,3,3,2,2,3,3,5,3,4,4,3,4,Double ,Medium 
Hovawart,5,4,4,3,2,2,4,4,5,4,4,3,1,4,Double ,Medium 
Ibizan-Hound,5,3,5,2,1,1,3,4,3,4,3,5,3,5,Wiry Smooth ,Short 
Icelandic-Sheepdog,5,5,4,3,2,2,3,3,4,4,5,4,4,5,Double ,Medium 
Irish-Red-and-White-Setter,5,5,5,2,2,2,5,3,3,5,5,5,3,3,Double Silky ,Medium 
Irish-Setter,5,5,5,3,3,2,5,5,3,4,4,5,3,4,Silky ,Medium 
Irish-Terrier,5,5,1,2,1,1,3,3,5,4,3,3,3,4,Wiry Double ,Medium 
Irish-Water-Spaniel,5,3,3,1,3,2,3,5,3,4,5,3,1,4,Curly ,Medium 
Irish-Wolfhound,5,3,4,3,2,2,3,3,5,3,3,3,1,3,Wiry ,Medium 
Italian-Greyhound,5,3,5,3,1,1,5,4,3,4,4,3,3,3,Smooth ,Short 
Jagdterrier,5,3,3,2,1,1,3,4,4,3,3,3,1,4,Wiry Smooth Rough ,Short 
Japanese-Akitainu,0,0,0,3,1,0,0,0,0,0,2,3,0,0,,
Japanese-Chin,5,3,5,3,2,1,3,3,3,4,3,3,2,3,Silky ,Medium 
Japanese-Spitz,5,3,3,3,3,1,3,4,3,3,3,3,3,3,Double ,Medium 
Japanese-Terrier,0,0,0,2,2,0,0,0,0,0,3,3,0,0,,
Jindo,5,3,3,3,2,1,3,3,5,3,4,4,3,4,Double ,Medium 
Kai-Ken,5,3,3,3,2,1,3,3,5,3,4,4,3,4,Double ,Medium 
Karelian-Bear-Dog,3,1,3,3,3,2,3,3,5,3,4,3,3,3,Double ,Medium 
Keeshond,5,5,5,3,3,2,5,5,5,5,5,4,4,4,Double ,Long 
Kerry-Blue-Terrier,5,4,2,1,3,2,3,3,5,3,3,4,4,4,Wavy ,Medium 
Kishu-Ken,5,3,3,3,1,1,3,4,3,3,3,4,3,4,Double ,Short 
